,County,City,License Plate Prefix
0,Anaconda-Deer Lodge,Anaconda,30
1,Beaverhead,Dillon,18
2,Big Horn,Hardin,22
3,Blaine,Chinook,24
4,Broadwater,Townsend,43
5,Butte-Silver Bow,Butte,1
6,Carbon,Red Lodge,10
7,Carter,Ekalaka,42
8,Cascade,Great Falls,2
9,Chouteau,Fort Benton,19
10,Custer,Miles City,14
11,Daniels,Scobey,37
12,Dawson,Glendive,16
13,Fallon,Baker,39
14,Fergus,Lewistown,8
15,Flathead,Kalispell,7
16,Gallatin,Bozeman,6
17,Garfield,Jordan,50
18,Glacier,Cut Bank,38
19,Golden Valley,Ryegate,53
20,Granite,Philipsburg,46
21,Hill,Havre,12
22,Jefferson,Boulder,51
23,Judith Basin,Stanford,36
24,Lake,Polson,15
25,Lewis&Clark,Helena,5
26,Liberty,Chester,48
27,Lincoln,Libby,56
28,Madison,Virginia City,25
29,McCone,Circle,41
30,Meagher,White Sulphur Springs,47
31,Mineral,Superior,54
32,Missoula,Missoula,4
33,Musselshell,Roundup,23
34,Park,Livingston,49
35,Petroleum,Winnett,55
36,Phillips,Malta,11
37,Pondera,Conrad,26
38,Powder River,Broadus,9
39,Powell,Deer Lodge,28
40,Prairie,Terry,45
41,Ravalli,Hamilton,13
42,Richland,Sidney,27
43,Roosevelt,Wolf Point,17
44,Rosebud,Forsyth,29
45,Sanders,Thompson Falls,35
46,Sheridan,Plentywood,34
47,Stillwater,Columbus,32
48,Sweet Grass,Big Timber,40
49,Teton,Choteau,31
50,Toole,Shelby,21
51,Treasure,Hysham,33
52,Valley,Glasgow,20
53,Wheatland,Harlowton,44
54,Wibaux,Wibaux,52
55,Yellowstone,Billings,3
56,Broadwater,Toston,43
57,Broadwater,Winston,43
58,Lewis&clark,Montanacity,5
